ResponseTime PretioWithLB.client[0].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[1].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[2].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[3].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[4].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[5].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[6].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[7].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[8].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),,ResponseTime PretioWithLB.client[9].app[0] (#0 - TEST-Bursty-10-runs-Scheduling-is-on-QDrop-is-on-new2-0-20230801-02:45:35-234655),
192.183661688178,191.183661688179995,208.16690246392,207.1669024639199952,153.183659155665,152.183659155659995,96.208057675586,95.2080576755859906,152.213192528454,151.2131925284500078,81.168065504902,80.16806550490198875,160.183623132886,159.1836231328899765,90.383598576178,89.3835985761780019,40.253938873919,39.25393887391899725,161.183056389274,160.1830563892700065
289.210318972304,97.0266572841260025,632.222802363978,424.0558999000600112,273.17078307444,119.987123918769981,168.199373594802,71.99131591921599215,272.191400114161,119.9782075857099808,137.197727613729,56.02966210882699705,569.191290189528,409.0076670566400007,184.208058312626,93.8244597364480053,64.244260352112,23.990321478192996,400.156088738612,138.9730323493399733
394.610624809695,105.4003058373899929,849.210998094358,216.9881957303799702,345.431250136069,72.2604670616289863,360.216226722118,92.01685312731598255,377.166696320611,104.9752962064499964,313.204973679842,76.0072460661129978,704.242660112974,135.0513699234500106,216.205163995942,31.9971056833160004,97.697169535561,33.45290918344899462,449.167378482022,49.0112897434100033
472.196694289476,77.58606947978100235,944.209157210643,94.9981591162849947,528.158535717994,82.72728558192500225,456.1616306011,95.9454038789820058,592.220634463798,115.0539381431899806,409.190434008932,95.9854603290899883,809.190517394126,104.9478572811499926,248.206725832432,32.00156183648999775,233.747079303189,36.04990976762799437,552.182511740079,103.0151332580599895
576.198243437723,104.0015491482500063,1040.177402136515,95.9682449258719994,641.207119439866,113.048583721869988,545.185768976677,89.0241383755769956,697.208173739211,104.9875392754100001,480.190061680443,70.99962767151100685,1225.256700545931,416.066183151799917,336.183689549695,87.97696371726300385,265.733028318143,31.985949014953995,833.188602744787,181.0060910047099572
673.190572773183,96.9923293354599988,1112.203894154647,72.02649201813198925,824.180712218005,182.973592778139959,625.202553406244,80.0167844295669963,1181.468683031805,384.2605092925899717,553.21766679207,73.02760511162699655,1377.192822786086,151.9361222401499837,417.1926266444,81.0089370947050039,305.247404499301,39.514376181157999,929.196079347637,96.0074766028500046
793.179881491805,119.9893087186199801,1184.141576455195,71.9376823005480045,921.132837222106,96.9521250041009917,697.220145267119,72.01759186087500065,1448.169412643822,166.7007296120199833,617.140819009362,63.92315221729199925,1488.187301993864,110.9944792077799884,544.186057908883,126.9934312644799941,440.189798232278,34.94239373297699545,1008.178239579097,78.98216023145999975
1177.491430800907,384.3115493090999725,1289.173772253714,105.0321957985199785,969.552064450397,48.4192272282909924,768.209571517331,70.98942625021200535,1528.163257513514,79.99384486969199735,696.170920189019,79.0301011796569808,1577.181953767978,88.99465177411400385,640.207653893867,96.0215959849840029,472.243147895187,32.05334966290899942,1073.165056545252,64.9868169661550039
1315.366829535213,137.8753987343100102,1376.468765280644,87.294993026930001,1049.183841744324,79.63177729392700105,929.163788743111,60.9542172257799988,1601.446153700166,73.2828961866519816,801.209288828044,105.0383686390200064,1657.710360823582,80.5284070556039919,729.203929320416,88.9962754265490044,512.205963389537,39.9628154943499963,1153.18070558954,80.0156490442879825
1440.171671944457,124.804842409239995,1640.208243968814,163.739478688169981,1145.179123478401,95.9952817340769963,1008.181952148549,79.0181634054380023,2025.21359796105,423.7674442608799827,856.174058615178,54.96476978713400265,1760.147264444147,102.4369036205700066,800.195232221003,70.99130290058698705,545.632213418296,33.426250028759,1232.220588466077,79.0398828765370066
